#,Date-Time (PST),Ch: 1 - Temperature   (°C),Button Down,Button Up,Host Connected,Stopped,End of File
409,06/15/2022 19:03:53,29.98,,,,,
410,06/15/2022 19:08:53,29.86,,,,,
411,06/15/2022 19:13:53,29.47,,,,,
412,06/15/2022 19:18:53,29.17,,,,,
413,06/15/2022 19:23:53,28.35,,,,,
414,06/15/2022 19:28:53,27.88,,,,,
415,06/15/2022 19:33:53,27.54,,,,,
416,06/15/2022 19:38:53,27.20,,,,,
417,06/15/2022 19:43:53,26.90,,,,,
418,06/15/2022 19:48:53,26.42,,,,,
419,06/15/2022 19:53:53,26.08,,,,,
420,06/15/2022 19:58:53,25.82,,,,,
421,06/15/2022 20:03:53,25.57,,,,,
422,06/15/2022 20:08:53,25.01,,,,,
423,06/15/2022 20:13:53,24.66,,,,,
424,06/15/2022 20:18:53,24.24,,,,,
425,06/15/2022 20:23:53,23.94,,,,,
426,06/15/2022 20:28:53,23.64,,,,,
427,06/15/2022 20:33:53,23.21,,,,,
428,06/15/2022 20:38:53,22.78,,,,,
429,06/15/2022 20:43:53,22.48,,,,,
430,06/15/2022 20:48:53,22.22,,,,,
431,06/15/2022 20:53:53,21.92,,,,,
432,06/15/2022 20:58:53,21.58,,,,,
433,06/15/2022 21:03:53,21.32,,,,,
434,06/15/2022 21:08:53,21.10,,,,,
435,06/15/2022 21:13:53,20.89,,,,,
436,06/15/2022 21:18:53,20.72,,,,,
437,06/15/2022 21:23:53,20.68,,,,,
438,06/15/2022 21:28:53,20.55,,,,,
439,06/15/2022 21:33:53,20.42,,,,,
440,06/15/2022 21:38:53,20.29,,,,,
441,06/15/2022 21:43:53,20.12,,,,,
442,06/15/2022 21:48:53,20.03,,,,,
443,06/15/2022 21:53:53,19.90,,,,,
444,06/15/2022 21:58:53,19.69,,,,,
445,06/15/2022 22:03:53,19.52,,,,,
446,06/15/2022 22:08:53,19.47,,,,,
447,06/15/2022 22:13:53,19.43,,,,,
448,06/15/2022 22:18:53,19.30,,,,,
449,06/15/2022 22:23:53,19.22,,,,,
450,06/15/2022 22:28:53,19.09,,,,,
451,06/15/2022 22:33:53,19.05,,,,,
452,06/15/2022 22:38:53,19.00,,,,,
453,06/15/2022 22:43:53,18.83,,,,,
454,06/15/2022 22:48:53,18.70,,,,,
455,06/15/2022 22:53:53,18.57,,,,,
456,06/15/2022 22:58:53,18.36,,,,,
457,06/15/2022 23:03:53,18.23,,,,,
458,06/15/2022 23:08:53,18.14,,,,,
459,06/15/2022 23:13:53,18.10,,,,,
460,06/15/2022 23:18:53,17.93,,,,,
461,06/15/2022 23:23:53,17.89,,,,,
462,06/15/2022 23:28:53,17.84,,,,,
463,06/15/2022 23:33:53,17.89,,,,,
464,06/15/2022 23:38:53,17.84,,,,,
465,06/15/2022 23:43:53,17.80,,,,,
466,06/15/2022 23:48:53,17.80,,,,,
467,06/15/2022 23:53:53,17.72,,,,,
468,06/15/2022 23:58:53,17.63,,,,,
469,06/16/2022 00:03:53,17.59,,,,,
470,06/16/2022 00:08:53,17.54,,,,,
471,06/16/2022 00:13:53,17.46,,,,,
472,06/16/2022 00:18:53,17.41,,,,,
473,06/16/2022 00:23:53,17.29,,,,,
474,06/16/2022 00:28:53,17.24,,,,,
475,06/16/2022 00:33:53,17.16,,,,,
476,06/16/2022 00:38:53,17.03,,,,,
477,06/16/2022 00:43:53,16.99,,,,,
478,06/16/2022 00:48:53,16.90,,,,,
479,06/16/2022 00:53:53,16.81,,,,,
480,06/16/2022 00:58:53,16.73,,,,,
481,06/16/2022 01:03:53,16.73,,,,,
482,06/16/2022 01:08:53,16.73,,,,,
483,06/16/2022 01:13:53,16.81,,,,,
484,06/16/2022 01:18:53,16.81,,,,,
485,06/16/2022 01:23:53,16.73,,,,,
486,06/16/2022 01:28:53,16.60,,,,,
487,06/16/2022 01:33:53,16.56,,,,,
488,06/16/2022 01:38:53,16.39,,,,,
489,06/16/2022 01:43:53,16.21,,,,,
490,06/16/2022 01:48:53,16.04,,,,,
491,06/16/2022 01:53:53,15.83,,,,,
492,06/16/2022 01:58:53,15.83,,,,,
493,06/16/2022 02:03:53,15.61,,,,,
494,06/16/2022 02:08:53,15.96,,,,,
495,06/16/2022 02:13:53,16.00,,,,,
496,06/16/2022 02:18:53,15.83,,,,,
497,06/16/2022 02:23:53,15.70,,,,,
498,06/16/2022 02:28:53,15.53,,,,,
499,06/16/2022 02:33:53,15.66,,,,,
500,06/16/2022 02:38:53,15.48,,,,,
501,06/16/2022 02:43:53,15.40,,,,,
502,06/16/2022 02:48:53,15.31,,,,,
503,06/16/2022 02:53:53,15.06,,,,,
504,06/16/2022 02:58:53,15.01,,,,,
505,06/16/2022 03:03:53,14.80,,,,,
506,06/16/2022 03:08:53,14.67,,,,,
507,06/16/2022 03:13:53,14.80,,,,,
508,06/16/2022 03:18:53,15.23,,,,,
509,06/16/2022 03:23:53,15.48,,,,,
510,06/16/2022 03:28:53,15.61,,,,,
511,06/16/2022 03:33:53,16.17,,,,,
512,06/16/2022 03:38:53,16.43,,,,,
513,06/16/2022 03:43:53,16.34,,,,,
514,06/16/2022 03:48:53,16.13,,,,,
515,06/16/2022 03:53:53,16.30,,,,,
516,06/16/2022 03:58:53,16.43,,,,,
517,06/16/2022 04:03:53,16.51,,,,,
518,06/16/2022 04:08:53,16.43,,,,,
519,06/16/2022 04:13:53,16.47,,,,,
520,06/16/2022 04:18:53,16.64,,,,,
521,06/16/2022 04:23:53,16.77,,,,,
522,06/16/2022 04:28:53,16.90,,,,,
523,06/16/2022 04:33:53,16.60,,,,,
524,06/16/2022 04:38:53,16.43,,,,,
525,06/16/2022 04:43:53,16.47,,,,,
526,06/16/2022 04:48:53,17.03,,,,,
527,06/16/2022 04:53:53,17.29,,,,,
528,06/16/2022 04:58:53,17.16,,,,,
529,06/16/2022 05:03:53,17.07,,,,,
530,06/16/2022 05:08:53,16.81,,,,,
531,06/16/2022 05:13:53,16.34,,,,,
532,06/16/2022 05:18:53,15.96,,,,,
533,06/16/2022 05:23:53,15.74,,,,,
534,06/16/2022 05:28:53,15.53,,,,,
535,06/16/2022 05:33:53,15.48,,,,,
536,06/16/2022 05:38:53,15.44,,,,,
537,06/16/2022 05:43:53,15.40,,,,,
538,06/16/2022 05:48:53,15.36,,,,,
539,06/16/2022 05:53:53,15.48,,,,,
540,06/16/2022 05:58:53,15.61,,,,,
541,06/16/2022 06:03:53,15.74,,,,,
542,06/16/2022 06:08:53,15.87,,,,,
543,06/16/2022 06:13:53,15.87,,,,,
544,06/16/2022 06:18:53,16.08,,,,,
545,06/16/2022 06:23:53,16.73,,,,,
546,06/16/2022 06:28:53,17.03,,,,,
547,06/16/2022 06:33:53,17.33,,,,,
548,06/16/2022 06:38:53,17.37,,,,,
549,06/16/2022 06:43:53,17.50,,,,,
550,06/16/2022 06:48:53,17.72,,,,,
551,06/16/2022 06:53:53,18.23,,,,,
552,06/16/2022 06:58:53,18.74,,,,,
553,06/16/2022 07:03:53,19.26,,,,,
554,06/16/2022 07:08:53,19.65,,,,,
555,06/16/2022 07:13:53,19.86,,,,,
556,06/16/2022 07:18:53,19.95,,,,,
557,06/16/2022 07:23:53,19.86,,,,,
558,06/16/2022 07:28:53,20.37,,,,,
559,06/16/2022 07:33:53,19.90,,,,,
560,06/16/2022 07:38:53,20.29,,,,,
561,06/16/2022 07:43:53,21.19,,,,,
562,06/16/2022 07:48:53,21.75,,,,,
563,06/16/2022 07:53:53,22.01,,,,,
564,06/16/2022 07:58:53,22.22,,,,,
565,06/16/2022 08:03:53,22.52,,,,,
566,06/16/2022 08:08:53,22.99,,,,,
567,06/16/2022 08:13:53,23.16,,,,,
568,06/16/2022 08:18:53,23.68,,,,,
569,06/16/2022 08:23:53,24.24,,,,,
570,06/16/2022 08:28:53,24.58,,,,,
571,06/16/2022 08:33:53,24.88,,,,,
572,06/16/2022 08:38:53,25.18,,,,,
573,06/16/2022 08:43:53,25.57,,,,,
574,06/16/2022 08:48:53,26.08,,,,,
575,06/16/2022 08:53:53,26.34,,,,,
576,06/16/2022 08:58:53,26.47,,,,,
