 Units of measure: Mols m-2 d-1
 Month;Alt;Azi;Altitude;Azimuth; SkySky;SkyTop;FolTop;FolSky;Total ;Sky   ;  Mask;    Total;   Gap Can; Gap Topo;Gap Both;Gap Can; Gap Topo;Gap Both;Canopy  ;Site    ;Id_UOC ; Id_SOC;  Above ;  Above  ; Above ;  Mask  ;  Mask   ; Mask ;   Trans ;  Trans  ; Trans
      ;Bin;Bin;        ;       ; Pixels;Pixels;Pixels;Pixels;Pixels;Area  ;  Area;    Area ;   Diffuse; Diffuse ;Diffuse ;Direct ; Direct  ;Direct  ;Openness;Openness;       ;       ;  Direct;  Diffuse; Total ;  Direct;  Diffuse; Total;   Direct;  Diffuse; Total
 All;  1; 28;  5.0000;275.0000; 30035;   168;     0;     0; 30203;0.004797;0.000027;0.004824;1.000000;0.994438;0.994438;1.000000;1.000000;1.000000;0.482356;0.479673;0.000838;0.000422;0.001901;0.013971;0.015872;0.001901;0.013893;0.015794;0.001901;0.013893;0.015794
 All;  1; 29;  5.0000;285.0000; 28963;   208;     0;  1022; 30193;0.004790;0.000033;0.004824;0.966151;0.993111;0.959262;0.864789;1.000000;0.864789;0.466029;0.462706;0.000838;0.000422;0.002554;0.013971;0.016525;0.002554;0.013875;0.016429;0.002209;0.013402;0.015611
 All;  1; 30;  5.0000;295.0000;  4670;    17;   151; 25354; 30192;0.004797;0.000027;0.004824;0.155240;0.994436;0.154677;0.151808;1.000000;0.151808;0.074881;0.074609;0.000838;0.000422;0.002418;0.013971;0.016389;0.002418;0.013893;0.016311;0.000367;0.002161;0.002528
 All;  1; 31;  5.0000;305.0000;   109;     0;   190; 29888; 30187;0.004793;0.000030;0.004824;0.003611;0.993706;0.003611;0.000000;1.000000;0.000000;0.001742;0.001742;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013883;0.013883;0.000000;0.000050;0.000050
 All;  1; 32;  5.0000;315.0000;     0;     0;   133; 30060; 30193;0.004802;0.000021;0.004824;0.000000;0.995595;0.000000;1.000000;1.000000;1.000000;0.000000;0.000000;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013909;0.013909;0.000000;0.000000;0.000000
 All;  1; 33;  5.0000;325.0000;    84;     0;   164; 29946; 30194;0.004797;0.000026;0.004824;0.002782;0.994568;0.002782;1.000000;1.000000;1.000000;0.001342;0.001342;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013895;0.013895;0.000000;0.000039;0.000039
 All;  1; 34;  5.0000;335.0000;   256;     1;   222; 29714; 30193;0.004788;0.000036;0.004824;0.008512;0.992614;0.008479;1.000000;1.000000;1.000000;0.004106;0.004090;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013868;0.013868;0.000000;0.000118;0.000118
 All;  1; 35;  5.0000;345.0000;    37;     2;   244; 29916; 30199;0.004784;0.000039;0.004824;0.001291;0.991854;0.001225;1.000000;1.000000;1.000000;0.000623;0.000591;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013857;0.013857;0.000000;0.000017;0.000017
 All;  1; 36;  5.0000;355.0000;  8758;   109;   148; 21194; 30209;0.004783;0.000041;0.004824;0.293522;0.991493;0.289914;1.000000;1.000000;1.000000;0.141582;0.139842;0.000838;0.000422;0.000000;0.013971;0.013971;0.000000;0.013852;0.013852;0.000000;0.004050;0.004050
 All;  2;  1; 15.0000;  5.0000;  1312;     0;     0; 25330; 26642;0.004677;0.000000;0.004677;0.049246;1.000000;0.049246;1.000000;1.000000;1.000000;0.023032;0.023032;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.001981;0.001981
 All;  2;  2; 15.0000; 15.0000;   263;     0;     0; 26383; 26646;0.004677;0.000000;0.004677;0.009870;1.000000;0.009870;1.000000;1.000000;1.000000;0.004616;0.004616;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.000397;0.000397
 All;  2;  3; 15.0000; 25.0000;  1142;     0;     0; 25499; 26641;0.004677;0.000000;0.004677;0.042866;1.000000;0.042866;1.000000;1.000000;1.000000;0.020049;0.020049;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.001724;0.001724
 All;  2;  4; 15.0000; 35.0000; 21774;     0;     0;  4884; 26658;0.004677;0.000000;0.004677;0.816790;1.000000;0.816790;1.000000;1.000000;1.000000;0.382013;0.382013;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.032858;0.032858
 All;  2;  5; 15.0000; 45.0000; 26163;     0;     0;   464; 26627;0.004677;0.000000;0.004677;0.982574;1.000000;0.982574;1.000000;1.000000;1.000000;0.459550;0.459550;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.039527;0.039527
 All;  2;  6; 15.0000; 55.0000; 26641;     0;     0;     0; 26641;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228;0.000000;0.040228;0.040228
 All;  2;  7; 15.0000; 65.0000; 26645;     0;     0;     0; 26645;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.002100;0.040228;0.042328;0.002100;0.040228;0.042328;0.002100;0.040228;0.042328
 All;  2;  8; 15.0000; 75.0000; 26641;     0;     0;     0; 26641;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.051836;0.040228;0.092064;0.051836;0.040228;0.092064;0.051836;0.040228;0.092064
 All;  2;  9; 15.0000; 85.0000; 26628;     0;     0;     0; 26628;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.032827;0.040228;0.073055;0.032827;0.040228;0.073055;0.032827;0.040228;0.073055
 All;  2; 10; 15.0000; 95.0000; 26642;     0;     0;     0; 26642;0.004677;0.000000;0.004677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.467700;0.467700;0.002412;0.001570;0.028051;0.040228;0.068278;0.028051;0.040228;0.068278;0.028051;0.040228;0.068278
