#,Date-Time (PST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Button Down,Host Connected,Stopped,End of File
336,05/04/2022 15:24:45,33.96,23.59,10.30,,,,
337,05/04/2022 15:29:45,34.21,23.87,10.69,,,,
338,05/04/2022 15:34:45,34.16,23.15,10.18,,,,
339,05/04/2022 15:39:45,33.93,24.48,10.83,,,,
340,05/04/2022 15:44:45,34.21,24.41,11.03,,,,
341,05/04/2022 15:49:45,34.04,23.46,10.28,,,,
342,05/04/2022 15:54:45,33.81,23.82,10.32,,,,
343,05/04/2022 15:59:45,33.79,23.70,10.23,,,,
344,05/04/2022 16:04:45,34.26,23.61,10.56,,,,
345,05/04/2022 16:09:45,34.27,24.37,11.05,,,,
346,05/04/2022 16:14:45,34.05,23.87,10.55,,,,
347,05/04/2022 16:19:45,33.96,23.62,10.32,,,,
348,05/04/2022 16:24:45,33.87,23.97,10.46,,,,
349,05/04/2022 16:29:45,33.79,24.20,10.54,,,,
350,05/04/2022 16:34:45,33.34,24.33,10.25,,,,
351,05/04/2022 16:39:45,33.63,25.44,11.16,,,,
352,05/04/2022 16:44:45,33.61,25.35,11.09,,,,
353,05/04/2022 16:49:45,33.77,25.15,11.10,,,,
354,05/04/2022 16:54:45,33.60,25.88,11.39,,,,
355,05/04/2022 16:59:45,33.57,26.07,11.48,,,,
356,05/04/2022 17:04:45,33.22,26.12,11.21,,,,
357,05/04/2022 17:09:45,33.23,26.57,11.48,,,,
358,05/04/2022 17:14:45,33.36,26.79,11.71,,,,
359,05/04/2022 17:19:45,33.46,26.50,11.63,,,,
360,05/04/2022 17:24:45,33.17,25.54,10.83,,,,
361,05/04/2022 17:29:45,32.78,26.39,11.00,,,,
362,05/04/2022 17:34:45,32.48,25.77,10.39,,,,
363,05/04/2022 17:39:45,32.25,25.42,9.98,,,,
364,05/04/2022 17:44:45,32.23,25.48,10.00,,,,
365,05/04/2022 17:49:45,32.23,25.80,10.18,,,,
366,05/04/2022 17:54:45,32.22,25.98,10.28,,,,
367,05/04/2022 17:59:45,32.18,25.94,10.23,,,,
368,05/04/2022 18:04:45,32.07,26.01,10.17,,,,
369,05/04/2022 18:09:45,31.95,25.73,9.91,,,,
370,05/04/2022 18:14:45,31.74,26.16,9.98,,,,
371,05/04/2022 18:19:45,31.69,26.47,10.12,,,,
372,05/04/2022 18:24:45,31.58,25.72,9.59,,,,
373,05/04/2022 18:29:45,31.44,26.20,9.75,,,,
374,05/04/2022 18:34:45,31.39,26.05,9.62,,,,
375,05/04/2022 18:39:45,31.23,26.50,9.74,,,,
376,05/04/2022 18:44:45,30.98,26.13,9.32,,,,
377,05/04/2022 18:49:45,30.79,25.44,8.77,,,,
378,05/04/2022 18:54:45,30.45,26.19,8.90,,,,
379,05/04/2022 18:59:45,30.30,26.40,8.89,,,,
380,05/04/2022 19:04:45,30.02,26.50,8.72,,,,
381,05/04/2022 19:09:45,29.78,26.97,8.78,,,,
382,05/04/2022 19:14:45,29.48,27.13,8.60,,,,
383,05/04/2022 19:19:45,29.18,27.28,8.43,,,,
384,05/04/2022 19:24:45,28.82,27.57,8.28,,,,
385,05/04/2022 19:29:45,28.53,28.69,8.62,,,,
386,05/04/2022 19:34:45,28.28,29.48,8.81,,,,
387,05/04/2022 19:39:45,27.91,30.43,8.96,,,,
388,05/04/2022 19:44:45,27.44,31.00,8.83,,,,
389,05/04/2022 19:49:45,26.81,31.27,8.41,,,,
390,05/04/2022 19:54:45,26.26,31.41,8.00,,,,
391,05/04/2022 19:59:45,25.71,32.44,7.99,,,,
392,05/04/2022 20:04:45,25.09,34.68,8.44,,,,
393,05/04/2022 20:09:45,24.51,35.21,8.15,,,,
394,05/04/2022 20:14:45,23.98,35.81,7.93,,,,
395,05/04/2022 20:19:45,23.50,36.86,7.93,,,,
396,05/04/2022 20:24:45,23.15,36.92,7.65,,,,
397,05/04/2022 20:29:45,22.92,36.68,7.34,,,,
398,05/04/2022 20:34:45,22.58,37.25,7.27,,,,
399,05/04/2022 20:39:45,22.39,37.70,7.28,,,,
400,05/04/2022 20:44:45,22.16,39.25,7.66,,,,
401,05/04/2022 20:49:45,21.64,40.64,7.71,,,,
402,05/04/2022 20:54:45,21.30,41.33,7.65,,,,
403,05/04/2022 20:59:45,21.13,41.58,7.58,,,,
404,05/04/2022 21:04:45,20.85,42.05,7.49,,,,
405,05/04/2022 21:09:45,20.62,42.05,7.29,,,,
406,05/04/2022 21:14:45,20.35,42.35,7.16,,,,
407,05/04/2022 21:19:45,20.14,42.68,7.08,,,,
408,05/04/2022 21:24:45,20.06,42.99,7.11,,,,
409,05/04/2022 21:29:45,19.92,44.07,7.35,,,,
410,05/04/2022 21:34:45,19.54,45.68,7.52,,,,
411,05/04/2022 21:39:45,19.33,47.29,7.84,,,,
412,05/04/2022 21:44:45,18.72,48.64,7.70,,,,
413,05/04/2022 21:49:45,18.39,49.35,7.61,,,,
414,05/04/2022 21:54:45,18.11,49.77,7.48,,,,
415,05/04/2022 21:59:45,17.88,51.48,7.75,,,,
416,05/04/2022 22:04:45,17.58,52.56,7.78,,,,
417,05/04/2022 22:09:45,17.31,52.31,7.46,,,,
418,05/04/2022 22:14:45,17.32,51.93,7.37,,,,
419,05/04/2022 22:19:45,17.17,51.85,7.20,,,,
420,05/04/2022 22:24:45,16.96,52.90,7.31,,,,
421,05/04/2022 22:29:45,16.55,52.85,6.91,,,,
422,05/04/2022 22:34:45,16.36,53.67,6.96,,,,
423,05/04/2022 22:39:45,16.20,54.21,6.96,,,,
424,05/04/2022 22:44:45,16.03,55.55,7.15,,,,
425,05/04/2022 22:49:45,15.76,56.32,7.10,,,,
426,05/04/2022 22:54:45,15.52,59.33,7.64,,,,
427,05/04/2022 22:59:45,15.46,58.79,7.45,,,,
428,05/04/2022 23:04:45,15.47,58.59,7.41,,,,
429,05/04/2022 23:09:45,15.38,60.14,7.70,,,,
430,05/04/2022 23:14:45,15.32,60.48,7.73,,,,
431,05/04/2022 23:19:45,15.17,60.38,7.57,,,,
432,05/04/2022 23:24:45,15.03,61.32,7.66,,,,
433,05/04/2022 23:29:45,14.88,62.19,7.73,,,,
434,05/04/2022 23:34:45,14.75,61.91,7.54,,,,
435,05/04/2022 23:39:45,14.78,61.93,7.57,,,,
436,05/04/2022 23:44:45,14.82,61.92,7.60,,,,
437,05/04/2022 23:49:45,14.65,61.89,7.44,,,,
438,05/04/2022 23:54:45,14.41,63.85,7.67,,,,
439,05/04/2022 23:59:45,14.32,63.98,7.61,,,,
